Faculty,Position,Gender,Management,DBLP,Area,Unnamed: 6,link,pid
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks,,https://dblp.uni-trier.de/pid/66/549.xml,66/549
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics,,https://dblp.org/pid/15/3108.xml,15/3108
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture,,https://dblp.org/pid/99/4535.xml,99/4535
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems,,https://dblp.org/pid/d/AnwitamanDatta.xml,d/AnwitamanDatta
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pers/k/Khan:Arijit.html,Data Management,,https://dblp.org/pid/67/2933.xml,67/2933
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture,,https://dblp.org/pid/73/1708.xml,73/1708
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML,,https://dblp.org/pid/42/6178-1.xml,42/6178-1
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision,,https://dblp.org/pid/83/6096.xml,83/6096
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems,,https://dblp.org/pid/83/3179.xml,83/3179
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision,,https://dblp.uni-trier.de/pid/29/3808.xml,29/3808
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks,,https://dblp.org/pid/80/2106.xml,80/2106
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia,,https://dblp.org/pid/05/2952.xml,05/2952
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML,,https://dblp.org/pid/c/ChngEngSiong.xml,c/ChngEngSiong
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining,,https://dblp.uni-trier.de/pid/33/3180.xml,33/3180
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision,,https://dblp.uni-trier.de/pid/95/3115.xml,95/3115
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture,,https://dblp.org/pid/63/6663.xml,63/6663
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks,,https://dblp.uni-trier.de/pid/76/440.xml,76/440
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML,,https://dblp.uni-trier.de/pid/80/7421.xml,80/7421
Goh Wooi Boon,Associate Professor,M,N,https://dblp.org/pers/g/Goh:Wooi=Boon.html,HCI,,https://dblp.org/pid/97/6922.xml,97/6922
Guan Cuntai,Professor,M,N,https://dblp.org/pers/g/Guan:Cuntai.html,AI/ML,,https://dblp.org/pid/95/7006.xml,95/7006
He Ying,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/h/He_0001:Ying,Computer Graphics,,https://dblp.uni-trier.de/pid/h/YingHe1.xml,h/YingHe1
Huang Shell Ying,Senior Lecturer,F,N,https://dblp.org/pers/h/Huang:Shell=Ying.html,Distributed Systems,,https://dblp.org/pid/61/3119.xml,61/3119
Hui Siu Cheung,Associate Professor,M,N,https://dblp.org/pers/h/Hui:Siu_Cheung.html,Information Retrieval,,https://dblp.org/pid/65/3225.xml,65/3225
Joty Shafiq Rayhan,Assistant Professor,M,N,https://dblp.org/pers/j/Joty:Shafiq_R=.html,AI/ML,,https://dblp.org/pid/62/2078.xml,62/2078
Ke Yiping Kelly,Assistant Professor,F,N,https://dblp.uni-trier.de/pers/k/Ke:Yiping.html,AI/ML,,https://dblp.uni-trier.de/pid/07/3111.xml,07/3111
Kong Wai-Kin Adams,Associate Professor,M,N,https://dblp.org/pers/k/Kong:Adams_Wai=Kin.html,Computer Vision,,https://dblp.org/pid/16/3792.xml,16/3792
Kwoh Chee Keong,Associate Professor,M,N,https://dblp.org/pid/32/228.html,Bioinformatics,,https://dblp.org/pid/32/228.xml,32/228
Lam Kwok Yan,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lam:Kwok=Yan.html,Cyber Security,,https://dblp.uni-trier.de/pid/10/1993.xml,10/1993
Lam Siew Kei,Assistant Professor,M,N,https://dblp.org/pers/l/Lam:Siew=Kei.html,Computer Architecture,,https://dblp.org/pid/74/1907.xml,74/1907
Lana Obraztsova ,Assistant Professor,F,N,https://dblp.org/pers/o/Obraztsova:Svetlana.html,AI/ML,,https://dblp.org/pid/12/9925.xml,12/9925
Lau Chiew Tong,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Lau:Chiew_Tong,Computer Networks,,https://dblp.uni-trier.de/pid/30/6609.xml,30/6609
Lee Bu Sung Francis,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Lee:Bu=Sung.html,Computer Networks,,https://dblp.uni-trier.de/pid/l/BuSungLee.xml,l/BuSungLee
Li Fang Flora,Senior Lecturer,F,N,https://dblp.org/pers/f/Fang:Li.html,Computer Vision,,https://dblp.org/pid/32/3735.xml,32/3735
Li Mo,Associate Professor,M,N,https://dblp.org/pers/hd/l/Li_0001:Mo,Computer Networks,,https://dblp.org/pid/87/4982-1.xml,87/4982-1
Li Yi,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Li_0008:Yi,Software Engg,,https://dblp.uni-trier.de/pid/59/871-8.xml,59/871-8
Liang Qianhui,Lecturer,F,N,https://dblp.uni-trier.de/pers/l/Liang:Qianhui_Althea.html,AI/ML,,https://dblp.uni-trier.de/pid/a/QianhuiAltheaLiang.xml,a/QianhuiAltheaLiang
Lin Feng,Associate Professor,M,N,https://dblp.org/pers/hd/l/Lin_0002:Feng,Bioinformatics,,https://dblp.org/pid/75/2611-2.xml,75/2611-2
Lin Guosheng,Assistant Professor,M,N,https://dblp.org/pers/l/Lin:Guosheng.html,Computer Vision,,https://dblp.org/pid/126/4778.xml,126/4778
Lin Shang-Wei,Assistant Professor,M,N,https://dblp.org/pid/55/4730-1.html,Software Engg,,https://dblp.org/pid/55/4730-1.xml,55/4730-1
Lin Weisi,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lin:Weisi.html,Multimedia,,https://dblp.uni-trier.de/pid/14/3737.xml,14/3737
Liu Weichen,Assistant Professor,M,N,https://dblp.org/pers/l/Liu:Weichen.html,Computer Architecture,,https://dblp.org/pid/24/914.xml,24/914
Liu Yang,Professor,M,N,https://dblp.org/pers/hd/l/Liu_0003:Yang,Software Engg,,https://dblp.org/pid/51/3710-3.xml,51/3710-3
Loke Yuan Ren,Lecturer,M,N,https://dblp.org/pers/l/Loke:Yuan_Ren.html,Computer Vision,,https://dblp.org/pid/11/9550.xml,11/9550
Long Cheng,Assistant Professor,M,N,https://dblp.org/pers/l/Long:Cheng.html,Data Mining,,https://dblp.org/pid/58/10813.xml,58/10813
Loy Chen Change,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Loy:Chen_Change.html,Computer Vision,,https://dblp.uni-trier.de/pid/01/5855.xml,01/5855
Lu Shijian,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/l/Lu:Shijian.html,Computer Vision,,https://dblp.uni-trier.de/pid/42/2718.xml,42/2718
Luo Jun,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Luo_0001:Jun,Computer Networks,,https://dblp.uni-trier.de/pid/42/2501-1.xml,42/2501-1
Mahardhika Pratama  ,Assistant Professor,M,N,https://dblp.org/pers/p/Pratama:Mahardhika.html,AI/ML,,https://dblp.org/pid/55/9613.xml,55/9613
Mohamed M. Sabry  ,Assistant Professor,M,N,https://dblp.org/pers/s/Sabry:Mohamed_M=.html,Computer Architecture,,https://dblp.org/pid/74/5309.xml,74/5309
Ng Wee Keong,Associate Professor,M,N,https://dblp.org/pers/n/Ng:Wee_Keong.html,Cyber Security,,https://dblp.org/pid/n/WeeKeongNg.xml,n/WeeKeongNg
Oh Hong Lye,Lecturer,M,N,https://dblp.org/pers/o/Oh:Hong_Lye.html,Computer Architecture,,https://dblp.org/pid/224/9431.xml,224/9431
Owen Noel Newton Fernando,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/f/Fernando:Owen_Noel_Newton.html,HCI,,https://dblp.uni-trier.de/pid/84/2408.xml,84/2408
Pan Sinno Jialin,Associate Professor,M,N,https://dblp.org/pers/p/Pan:Sinno_Jialin.html,AI/ML,,https://dblp.org/pid/80/5412.xml,80/5412
Qian Kemao,Associate Professor,M,N,https://dblp.org/pers/q/Qian:Kemao.html,Computer Vision,,https://dblp.org/pid/78/6459.xml,78/6459
Quek Hiok Chai,Associate Professor,M,N,https://dblp.org/pers/q/Quek:Hiok_Chai.html,AI/ML,,https://dblp.org/pid/q/HiokChaiQuek.xml,q/HiokChaiQuek
Rajapakse Jagath Chandana,Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajapakse:Jagath_C=.html,Bioinformatics,,https://dblp.uni-trier.de/pid/91/665.xml,91/665
Seah Hock Soon,Professor,M,Y,https://dblp.org/pers/s/Soon:Seah_Hock.html,Computer Graphics,,https://dblp.org/pid/s/SeahHockSoon.xml,s/SeahHockSoon
Smitha K G,Lecturer,F,N,https://dblp.uni-trier.de/pers/s/Smitha:Kavallur_Gopi.html,Computer Architecture,,https://dblp.uni-trier.de/pid/73/4788.xml,73/4788
Sourav S Bhowmick,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/b/Bhowmick:Sourav_S=,Data Management,,https://dblp.uni-trier.de/pid/b/SSBhowmick.xml,b/SSBhowmick
Sourav Sen Gupta,Lecturer,M,N,https://dblp.org/pers/g/Gupta:Sourav_Sen.html,Cyber Security,,https://dblp.org/pid/41/8030.xml,41/8030
Sun Aixin,Associate Professor,M,N,https://dblp.org/pers/s/Sun:Aixin.html,Information Retrieval,,https://dblp.org/pid/78/5155.xml,78/5155
Sun Chengzheng,Professor,M,N,https://dblp.org/pers/s/Sun:Chengzheng.html,HCI,,https://dblp.org/pid/s/CZSun.xml,s/CZSun
Tan Ah Hwee,Professor,M,Y,https://dblp.org/pers/t/Tan:Ah=Hwee.html,AI/ML,,https://dblp.org/pid/38/3641.xml,38/3641
Tan Kheng Leong,Lecturer,M,N,https://dblp.org/pers/hd/t/Tan:Kheng_Leong,Cyber Security,,https://dblp.org/pid/242/0323.xml,242/0323
Tan Rui,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/t/Tan:Rui.html,Computer Architecture,,https://dblp.uni-trier.de/pid/00/5179.xml,00/5179
