pid,other_pids,title,year,journal,link,type
66/549,"['220/2200', '126/8221', '92/249', '66/549']",An Adaptive Energy Detection Scheme with Real-Time Noise Variance Estimation.,2020,Circuits Syst. Signal Process.,https://doi.org/10.1007/s00034-019-01281-0,article
66/549,"['82/8861', '66/549', '199/0622']",Analysis of heterogeneous satellite networks with multi-user detectors.,2020,Int. J. Satell. Commun. Netw.,https://doi.org/10.1002/sat.1324,article
66/549,"['82/8861', '66/549', '199/0622']",Terrestrial Relay-Aided Cooperative High Throughput Satellite Systems.,2020,Int. J. Satell. Commun. Netw.,https://doi.org/10.1002/sat.1332,article
66/549,"['199/9811', '66/549', '74/4514']",Blind Estimation of Code Parameters for Product Codes Over Noisy Channel Conditions.,2020,IEEE Trans. Aerosp. Electron. Syst.,https://doi.org/10.1109/TAES.2019.2934308,article
66/549,"['193/1679', '66/549', '82/8861']",Wireless Energy Harvesting-Based Relaying: A Finite-SNR Diversity-Multiplexing Tradeoff Perspective.,2020,IEEE Trans. Green Commun. Netw.,https://doi.org/10.1109/TGCN.2019.2948947,article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",NOMA-Aided UAV Communications over Correlated Rician Shadowed Fading Channels.,2020,IEEE Trans. Signal Process.,https://doi.org/10.1109/TSP.2020.2994781,article
66/549,"['220/2200', '126/8221', '92/249', '66/549']",A Power-Efficient Spectrum-Sensing Scheme Using 1-Bit Quantizer and Modified Filter Banks.,2020,IEEE Trans. Very Large Scale Integr. Syst.,https://doi.org/10.1109/TVLSI.2020.3009430,article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Addressing spectrum efficiency through hybrid-duplex UAV communications: Challenges and opportunities.,2020,Veh. Commun.,https://doi.org/10.1016/j.vehcom.2020.100235,article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Capacity Characterization of Uplink NOMA in Multi-UAV Networks.,2020,VTC Spring,https://doi.org/10.1109/VTC2020-Spring48590.2020.9129164,inproceedings
66/549,"['160/3438', '66/549', '199/9811']",Space Shift Keying-Based Hybrid FSO/RF System.,2020,VTC-Fall,https://doi.org/10.1109/VTC2020-Fall49728.2020.9348853,inproceedings
66/549,"['160/3438', '66/549', '199/9811']",Performance of Dual-Hop Hybrid FSO/RF System with Pointing Errors Optimization.,2020,VTC Spring,https://doi.org/10.1109/VTC2020-Spring48590.2020.9128987,inproceedings
66/549,"['199/9811', '160/3438', '66/549']",Performance Analysis of HAPS-Based Relaying for Hybrid FSO/RF Downlink Satellite Communication.,2020,VTC Spring,https://doi.org/10.1109/VTC2020-Spring48590.2020.9129403,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Impact of Cellular Interference on Uplink UAV Communications.,2020,VTC Spring,https://doi.org/10.1109/VTC2020-Spring48590.2020.9128682,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Mitigating Cellular Interference in Uplink UAV Communications.,2020,VTC-Fall,https://doi.org/10.1109/VTC2020-Fall49728.2020.9348598,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",A Power Series Approach for Hybrid-Duplex UAV Communication Systems Under Rician Shadowed Fading.,2019,IEEE Access,"OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1109/ACCESS.2019.2921800')])",article
66/549,"['160/3438', '66/549', '199/9811']",Effect of Pointing Errors on the Performance of Hybrid FSO/RF Networks.,2019,IEEE Access,"OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1109/ACCESS.2019.2940630')])",article
66/549,"['199/9811', '66/549']",Blind parameter estimation of turbo convolutional codes: Noisy and non-synchronized scenario.,2019,Digit. Signal Process.,https://doi.org/10.1016/j.dsp.2019.102577,article
66/549,"['82/8861', '66/549', '199/0622']",BER Analysis of Interference-Limited Synchronous Wireless Networks With Line-of-Sight Links.,2019,IEEE Commun. Lett.,https://doi.org/10.1109/LCOMM.2019.2894132,article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Hybrid-Duplex Communications for Multi-UAV Networks: An Outage Probability Analysis.,2019,IEEE Commun. Lett.,https://doi.org/10.1109/LCOMM.2019.2929392,article
66/549,"['199/9811', '66/549', '74/4514', '58/9429']",Blind recognition of LDPC code parameters over erroneous channel conditions.,2019,IET Signal Process.,https://doi.org/10.1049/iet-spr.2018.5025,article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",A Hybrid-Duplex System With Joint Detection for Interference-Limited UAV Communications.,2019,IEEE Trans. Veh. Technol.,https://doi.org/10.1109/TVT.2018.2878889,article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Outage Analysis and Finite SNR Diversity-Multiplexing Tradeoff of Hybrid-Duplex Systems for Aeronautical Communications.,2019,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2019.2902550,article
66/549,"['155/5051', '66/549', 'c/FrancoisPSChin']",Resource allocation in multicell systems with coordinated beamforming and partial data cooperation: a study on the effect of cooperation on achievable performance.,2019,Wirel. Networks,https://doi.org/10.1007/s11276-017-1627-6,article
66/549,"['193/1679', '66/549', '82/8861']",Limited Feedback Assisted Dynamic Decode-and-Forward Relaying for Multiple Access Relay Channel.,2019,Wirel. Pers. Commun.,https://doi.org/10.1007/s11277-018-6068-8,article
66/549,"['160/3438', '66/549', '199/9811']",Asymptotic Analysis of Switching-Based Hybrid FSO/RF System with DF-Relaying.,2019,APCC,https://doi.org/10.1109/APCC47188.2019.9026531,inproceedings
66/549,"['82/8861', '66/549', '199/0622']",Precoder Design for Dual Satellite System with Joint Decoding.,2019,ICC,https://doi.org/10.1109/ICC.2019.8761873,inproceedings
66/549,"['220/2200', '92/249', '66/549']",A Cyclic Prefix Assisted Spectrum Sensing Method for Aeronautical Communication Systems.,2019,ISCAS,https://doi.org/10.1109/ISCAS.2019.8702336,inproceedings
66/549,"['82/8861', '66/549', '199/0622']",NOMA Precoding for Cognitive Overlay Dual Satellite Systems.,2019,VTC Spring,https://doi.org/10.1109/VTCSpring.2019.8746398,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Downlink NOMA in Multi-UAV Networks over Bivariate Rician Shadowed Fading Channels.,2019,VTC-Fall,https://doi.org/10.1109/VTCFall.2019.8891101,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",An Outage Probability Analysis of Full-Duplex NOMA in UAV Communications.,2019,WCNC,https://doi.org/10.1109/WCNC.2019.8886161,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Downlink NOMA in Multi-UAV Networks over Bivariate Rician Shadowed Fading Channels.,2019,CoRR,"OrderedDict([('@type', 'oa'), ('#text', 'http://arxiv.org/abs/1902.06869')])",article
66/549,"['174/3471', '66/549', '82/8861', '56/954']",An Outage Probability Analysis of Full-Duplex NOMA in UAV Communications.,2019,CoRR,"OrderedDict([('@type', 'oa'), ('#text', 'http://arxiv.org/abs/1909.02194')])",article
66/549,"['193/1679', '66/549', '82/8861']",RF Energy Harvesting Based Multiple Access Relay Systems: A DMT Perspective.,2018,IEEE Access,"OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1109/ACCESS.2018.2883505')])",article
66/549,"['82/8861', '66/549']",Interference Cancellation Through Interference Forwarding in Relay-Assisted Systems.,2018,IEEE Syst. J.,https://doi.org/10.1109/JSYST.2017.2775701,article
66/549,"['199/9811', '66/549', '74/4514', '58/9429']",Blind Reconstruction of Reed-Solomon Encoder and Interleavers Over Noisy Environment.,2018,IEEE Trans. Broadcast.,https://doi.org/10.1109/TBC.2018.2795461,article
66/549,"['227/2189', '92/249', '66/549']",A Hardware-Efficient Synchronization in L-DACS1 for Aeronautical Communications.,2018,IEEE Trans. Very Large Scale Integr. Syst.,http://doi.ieeecomputersociety.org/10.1109/TVLSI.2018.2789467,article
66/549,"['82/8861', '66/549']",On the diversity gain region of the dynamic decode-and-forward relay-assisted Z-channel.,2018,Wirel. Networks,https://doi.org/10.1007/s11276-016-1339-3,article
66/549,"['160/3438', '236/3259', '66/549', '199/9811']",Switching-Based Transmit Antenna/Aperture Selection in a MISO Hybrid FSO/RF System.,2018,GLOBECOM,https://doi.org/10.1109/GLOCOM.2018.8647284,inproceedings
66/549,"['199/9811', '66/549', '74/4514', '58/9429']",Joint Reconstruction of Reed-Solomon Encoder and Convolutional Interleaver in a Noisy Environment.,2018,ISITA,https://doi.org/10.23919/ISITA.2018.8664312,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",Hybrid-Duplex Systems for UAV Communications Under Rician Shadowed Fading.,2018,VTC-Fall,https://doi.org/10.1109/VTCFall.2018.8690623,inproceedings
66/549,"['174/3471', '82/8861', '56/954', '66/549']",On the Performance Analysis of Hybrid-Duplex Systems for Aeronautical Communications.,2018,VTC Spring,https://doi.org/10.1109/VTCSpring.2018.8417775,inproceedings
66/549,"['121/0598', '82/8861', '66/549']",Adaptive filter based blind residual self-interference cancellation in full-duplex MIMO transceivers.,2018,WCNC,https://doi.org/10.1109/WCNC.2018.8377250,inproceedings
