PID,group,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,score,is_multiple
51/3710,2,0.7259999999999998,0.35407931164527695,0.9905480363878411,0.9773907894051929,0.7620045343595777,False
97/8704,2,0.6939999999999986,0.2333114117069168,0.970943888647238,1.0,0.7245638250885383,False
35/7092,2,0.675999999999999,0.23655149147661256,0.9663203463203465,0.9045388507860654,0.6958526721457559,False
10/4661,2,0.6399999999999998,0.2594525349295278,0.9694679695982629,0.8390979752323713,0.6770046199400404,False
84/6889,2,0.5819999999999989,0.25029494586166917,0.9687527124381565,0.8194240788214007,0.6551179342803063,False
181/2817,2,0.585999999999999,0.19014327654527657,0.9569168774381618,0.8510437673120196,0.6460259803238643,False
50/671,2,0.6239999999999992,0.18089522276726921,0.9562200137080192,0.8217631522139753,0.6457195971723158,False
10/5630,2,0.5539999999999998,0.2129547136932757,0.9624040700181081,0.7770287931858507,0.6265968942243086,False
37/4190,2,0.5439999999999986,0.2023141945991363,0.9486209680846543,0.7615053370205511,0.6141101249260851,False
64/6025,2,0.5179999999999988,0.14988644002780485,0.9521006611217744,0.7921181386128217,0.6030263099405999,False
66/3387,2,0.49399999999999983,0.19158844242602055,0.9670739104063774,0.7459265235495267,0.5996472190954811,False
49/3283,2,0.5199999999999997,0.1608113693171935,0.9544618805319196,0.7620613497932035,0.599333649910579,False
09/1365,2,0.5039999999999992,0.15331523686453688,0.9447265955645845,0.7439402216135454,0.5864955135106665,False
46/3391,2,0.5399999999999985,0.17540076238081004,0.949185695454352,0.655540106133719,0.5800316409922199,False
87/660,2,0.48399999999999854,0.11018487396795316,0.9442470389170897,0.7813407435444693,0.5799431641073777,False
64/6544,2,0.46999999999999903,0.15091018120793698,0.9440074431193437,0.6871466217999906,0.5630160615318176,False
04/3348,2,0.4639999999999998,0.15534937216994116,0.9489435871274924,0.6809238639384433,0.5623042058089692,False
02/5889,2,0.4539999999999985,0.12839387547679085,0.9525475804386789,0.6949217113526386,0.5574657918170267,False
02/736,2,0.4460000000000002,0.13428813573873644,0.945406801914362,0.7002330131661731,0.5564819877048179,False
59/2227,2,0.4739999999999992,0.12141617202817996,0.9399528381337376,0.677853417561799,0.553305606930929,False
58/6810,2,0.4460000000000002,0.16058944164224054,0.9507624158786949,0.6202121199781973,0.5443909943747832,False
48/450,2,0.4519999999999994,0.12581291127039054,0.9310531803962461,0.6512461767596474,0.5400280671065708,False
39/449,2,0.439999999999999,0.121050044224801,0.9486612834679133,0.6499190816078428,0.539907602325139,False
181/2820,2,0.4439999999999991,0.12008558927830246,0.9470111577786263,0.647368738462771,0.5396163713799247,False
21/3626,2,0.4299999999999996,0.16784961654653732,0.9384511897754982,0.576634800907002,0.5282339018072593,False
76/1820,2,0.4359999999999989,0.09671574596505952,0.9366005118952712,0.6426729719073976,0.5279973074419317,False
66/190,2,0.4059999999999989,0.11035212903773817,0.9351879006242407,0.6335202647418606,0.5212650736009596,False
50/3402,2,0.41600000000000015,0.11584757387082145,0.93370142636048,0.5923473306989574,0.5144740827325648,False
82/6362-1,2,0.5339999999999993,0.1897000517501422,0.9234651663081251,0.40745824529739044,0.5136558658389143,False
181/2812,2,0.41399999999999915,0.11090246755769248,0.9448065690341149,0.5839189439599658,0.5134069951379431,False
53/2189,2,0.41399999999999915,0.10054384109884394,0.9345614402344569,0.6042643723560827,0.5133424134223457,False
16/3283,2,0.41399999999999915,0.08532381871647307,0.9319861383658302,0.6178515855307061,0.5122903856532521,False
181/2832,2,0.42000000000000026,0.12119910694485013,0.9395967504314517,0.5635343240287466,0.5110825453512622,False
84/2694,2,0.3839999999999991,0.12255556483314567,0.9377809519808427,0.5914102320432738,0.5089366872143153,False
92/6289,2,0.3959999999999995,0.09174368266224503,0.9286902978865036,0.6051438598182151,0.5053944600917408,False
29/4190,2,0.41200000000000003,0.10956217069319868,0.9315583006426842,0.5557634986505811,0.502220992496616,False
40/1491,2,0.39999999999999963,0.0783495693589149,0.9283813009482614,0.6005099030951084,0.5018101933505711,False
07/314,2,0.3779999999999999,0.12097007091909093,0.9307814193978818,0.574594739255883,0.501086557393214,False
y/PhilipSYu,2,0.42199999999999943,0.19168693140006213,0.9369150052465898,0.4023854574282407,0.488246848518723,False
89/6764,2,0.3579999999999992,0.07090504558802371,0.9233887647886159,0.5972832881706588,0.4873942746368244,False
72/2590,2,0.3599999999999983,0.10618459134683213,0.9209885711928043,0.5465561527225272,0.48343232881554055,False
g/WenGao,2,0.41200000000000003,0.07790993706676892,0.9226635803744885,0.5131740906565472,0.48143690202445116,False
60/2536,2,0.3759999999999989,0.13106547997108675,0.9307814193978818,0.48656994420854954,0.48110421089437927,False
17/221,2,0.3699999999999996,0.09757012160725152,0.9391618983507236,0.5043679572981343,0.47777499431402726,False
78/2022,2,0.352,0.12501111768952647,0.9276868090765522,0.506115699056772,0.47770340645571263,False
06/6785,2,0.3459999999999988,0.11905176446674512,0.9285743999334416,0.4969476096174197,0.4726434435044013,False
75/4601,2,0.3699999999999996,0.08576072717125664,0.9216350123864576,0.5104329156942558,0.4719571638129924,False
91/195,2,0.352,0.09400591135019339,0.9273784794349813,0.5121979148432049,0.47139557640709484,False
29/3081,2,0.3659999999999995,0.08645197746752206,0.9134509145967181,0.5064394430989202,0.4680855837907899,False
97/2274,2,0.3579999999999992,0.06901220933518018,0.9167145790554415,0.5206925429088496,0.46610483282486764,False
94/3104,2,0.352,0.09034751730137604,0.9175812882805113,0.5030512240030401,0.4657450073962319,False
83/6353,2,0.349999999999999,0.06698328740451315,0.9144238253246488,0.5274642172568906,0.4647178324965129,False
17/5705,2,0.3560000000000001,0.07266744915909965,0.9130399214659686,0.5121126285168138,0.46345499978547056,False
40/3934,2,0.3399999999999996,0.060363764143659376,0.9183362817295431,0.5285624107686557,0.4618156141604644,False
58/2670,2,0.3319999999999993,0.10738313468478124,0.9241150900434694,0.48227552109726374,0.4614434364563784,False
15/4777,2,0.33599999999999947,0.059245678156897616,0.9202292121861732,0.522169025730214,0.45941097901832106,False
13/6769,2,0.3419999999999987,0.10142666462227554,0.9284199143201763,0.4619189001618758,0.4584413697760816,False
21/2715,2,0.322,0.05093708133308632,0.9071402446458325,0.5389578242056496,0.45475878754614213,False
39/721,2,0.32799999999999924,0.06420866721713389,0.914948559249088,0.5021559787417817,0.4523283013020007,False
95/3736,2,0.319999999999999,0.06810168874428275,0.9143489124646704,0.4961048619495636,0.44963886578962897,False
l/XuelongLi,2,0.3639999999999985,0.058154508293665384,0.8992104415082179,0.4656390586267884,0.44675100210716756,False
24/6606,2,0.3860000000000001,0.09611408571785571,0.9132640536780949,0.3909848748326547,0.4465907535571514,False
13/1898,2,0.3139999999999997,0.07065741782551839,0.9227017195767195,0.47875176259620617,0.4465277249996109,False
46/2005,2,0.2919999999999999,0.10429403427220497,0.9254176858339207,0.4625692544220883,0.44607024363205344,False
y/ShuichengYan,2,0.3579999999999992,0.07295923404325888,0.9072508535197529,0.43838577164043147,0.44414896480086064,False
97/4626,2,0.2960000000000001,0.04651187365387541,0.9189033426642516,0.515042813845511,0.4441145075409095,False
95/2446,2,0.32600000000000007,0.1333469094081444,0.9061459771048146,0.4053709714708499,0.4427159644959523,False
95/4442,2,0.30399999999999844,0.046632742948701754,0.9047136546021968,0.505877628651796,0.4403060065506732,False
55/2270,2,0.3300000000000002,0.06612912506005054,0.915548993068373,0.44614876657888547,0.43945672117682727,False
